datetime,open,high,low,close/last,volume,market_adjustment%,daily_difference%,label
2020-12-09,13.92,14.73,13.225,13.66,24357944,0.9730460176416976,-8.349856998900544,Buy
2020-12-10,13.12,14.41,13.05,14.12,7558922,-7.376810981258846,11.89211008630496,Sell
2020-12-11,13.91,14.0,13.02,13.31,7496868,4.515299105046114,-0.6234857776943405,Buy
2020-12-14,13.34,13.4335,12.14,12.72,10007092,3.891813327351773,-11.494852795769708,Buy
2020-12-15,12.78,14.02,12.48,13.85,8192856,-7.6030394684179345,8.5241129640715,Sell
2020-12-16,13.96,14.305,13.58,13.85,5865123,0.9210734956535664,-6.915393721466511,Buy
2020-12-17,13.96,14.98,13.59,14.83,8194902,-5.994320225812944,6.596189867661766,Sell
2020-12-18,15.78,16.3,15.18,15.63,16618776,0.6018696418488222,1.4579559053533955,Sell
2020-12-21,15.81,16.348,15.28,15.53,9876128,2.0598255472022178,-22.327748894688753,Buy
2020-12-22,16.22,20.04,16.15,19.46,30687718,-20.267923347486537,18.192453712031696,Sell
2020-12-23,20.17,22.3499,19.13,20.57,25830256,-2.07546963545484,6.413207020469462,Sell
2020-12-24,21.01,21.48,19.95,20.15,6262174,4.337737385014622,-2.504913103679553,Buy
2020-12-28,21.31,21.97,20.35,20.99,8965858,1.8328242813350686,4.471070531717763,Sell
2020-12-29,20.82,21.07,18.56,19.38,9241441,6.303894813052832,-5.795775488137017,Buy
2020-12-30,19.38,20.0,18.85,19.26,5934391,0.5081193249158146,2.232475451175998,Sell
2020-12-31,19.25,19.8,18.8,18.84,6922652,2.7405947760918123,4.77095076878115,Sell
2021-01-04,19.0,19.1,17.15,17.25,10022474,7.511545544872963,-6.846942521153448,Buy
2021-01-05,17.35,18.0765,17.23,17.37,4961457,0.6646030237195146,-5.578796921740979,Buy
2021-01-06,17.34,18.98,17.33,18.36,6056248,-4.914193898021464,8.06378747704358,Sell
2021-01-07,18.47,19.45,18.02,18.08,6129276,3.149593579022116,-0.2019027207631643,Buy
2021-01-08,18.18,18.3,17.08,17.69,6481960,2.9476908582589516,-5.771060160325158,Buy
2021-01-11,19.41,20.65,19.01,19.94,14927612,-2.823369302066206,2.862158535037345,Sell
2021-01-12,19.96,20.4,19.3168,19.95,7060665,0.03878923297113902,-53.60945645750413,Buy
2021-01-13,20.42,38.65,20.03,31.4,144501736,-53.57066722453299,48.282940059819275,Sell
2021-01-14,38.09,43.06,33.05,39.91,93717410,-5.287727164713714,12.515428131122771,Sell
2021-01-15,38.49,40.75,34.01,35.5,46866358,7.227700966409058,-1.506637704422471,Buy
2021-01-19,41.55,45.52,36.64,39.36,74721924,5.721063261986587,-9.47031760142111,Buy
2021-01-20,37.37,41.1899,36.06,39.12,33471789,-3.7492543394345224,-6.051015558521911,Buy
2021-01-21,39.23,44.75,37.0,43.03,57079754,-9.800269897956433,-42.91325108969726,Buy
2021-01-22,42.59,76.7573,42.32,65.01,197157946,-52.713520987653695,73.4231441419306,Sell
2021-01-25,96.73,159.18,61.13,76.79,177874000,20.709623154276915,-88.15070848663429,Buy
2021-01-26,88.56,150.0,80.2,147.98,178587974,-67.44108533235737,67.26104758507304,Sell
2021-01-27,354.83,380.0,249.0,347.51,93396666,-0.1800377472843251,27.96560930485831,Sell
2021-01-28,265.0,483.0,112.25,193.6,58815805,27.785571557573988,-15.066173809925331,Buy
2021-01-29,379.71,413.98,250.0,325.0,50566055,12.719397747648657,17.348174224965398,Sell
2021-02-01,316.56,322.0,212.0,225.0,37382152,30.067571972614054,6.902866445746469,Sell
2021-02-02,140.76,158.0,74.2201,90.0,78183071,36.97043841836052,-19.735003119845274,Buy
2021-02-03,112.01,113.3999,85.25,92.41,42698511,17.23543529851525,25.01018797606543,Sell
2021-02-04,91.19,91.5,53.33,53.5,62427275,42.24562327458068,-60.0308628946856,Buy
2021-02-05,54.04,95.0,51.09,63.77,81345013,-17.785239620104917,35.51462263514648,Sell
2021-02-08,72.41,72.66,58.02,60.0,25687282,17.729383015041563,-6.5816837206634915,Buy
2021-02-09,56.61,57.0,46.52,50.31,26843082,11.147699294378071,-12.272662065655904,Buy
2021-02-10,50.77,62.83,46.55,51.2,36455036,-1.1249627712778318,-1.0551119889718406,Buy
2021-02-11,50.01,55.32,48.2201,51.1,13056725,-2.1800747602496724,-0.47856796160828274,Buy
